N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;;;;;
160;32;16;0,25;;;;;;;
161;32;23;0,25;;;;;;;
162;30;33;0,75;;;;;;;
163;62;24;0,75;;;;;;;
164;63;24;0,75;;;;;;;
165;18;12;0,75;;;;;;;
166;34;26;0,75;;;;;;;
167;19;35;0,75;;;;;;;
168;13;35;0,75;;;;;;;
169;16;35;0,75;;;;;;;
170;11;32;0,75;;;;;;;
171;11;32;0,75;;;;;;;
172;11;32;0,75;;;;;;;
173;17;35;0,75;;;;;;;
174;15;35;0,75;;;;;;;
175;15;35;0,75;;;;;;;
176;12;35;0,75;;;;;;;
177;12;35;0,75;;;;;;;
178;47;94;1,00;;;;;;;
179;49;108;1,00;;;;;;;
180;40;123;1,00;;;;;;;
181;49;108;1,00;;;;;;;
182;54;118;1,00;;;;;;;
183;45;92;1,00;;;;;;;
184;49;108;1,00;;;;;;;
185;45;92;1,00;;;;;;;
186;50;109;1,00;;;;;;;
187;20;40;0,75;;;;;;;
188;54;33;0,75;;;;;;;
189;13;35;0,75;;;;;;;
190;13;40;0,75;;;;;;;
191;17;35;0,75;;;;;;;
192;30;84;0,50;;;;;;;
193;29;84;0,50;;;;;;;
194;25;84;0,50;;;;;;;
195;32;84;0,50;;;;;;;
196;42;112;1,00;;;;;;;
197;43;105;1,00;;;;;;;
198;41;87;1,00;;;;;;;
199;49;109;1,00;;;;;;;
200;49;109;1,00;;;;;;;
201;12;35;0,75;;;;;;;
202;14;32;0,75;;;;;;;
203;12;32;0,75;;;;;;;
204;16;32;0,75;;;;;;;
205;13;32;0,75;;;;;;;
206;34;68;0,75;;;;;;;
207;17;13;0,75;;;;;;;
208;10;13;0,75;;;;;;;
209;28;26;0,75;;;;;;;
210;17;19;0,75;;;;;;;
211;26;34;0,75;;;;;;;
212;20;18;0,75;;;;;;;
213;21;18;0,75;;;;;;;
214;13;18;0,75;;;;;;;
215;17;15;0,75;;;;;;;
216;11;15;0,75;;;;;;;
217;20;100;0,75;;;;;;;
218;22;100;0,75;;;;;;;
219;28;53;0,75;;;;;;;
220;33;30;0,75;;;;;;;
221;17;15;0,75;;;;;;;
222;24;20;0,75;;;;;;;
223;28;20;0,75;;;;;;;
224;14;32;0,75;;;;;;;
225;19;32;0,75;;;;;;;
226;14;35;0,75;;;;;;;
227;14;32;0,50;;;;;;;
228;13;32;0,50;;;;;;;
229;43;108;1,00;;;;;;;
230;41;87;1,00;;;;;;;
231;47;95;1,00;;;;;;;
232;49;109;1,00;;;;;;;
233;45;120;1,00;;;;;;;
234;16;26;0,75;;;;;;;
235;24;26;0,75;;;;;;;
236;6;26;0,75;;;;;;;
237;36;26;0,75;;;;;;;
238;17;28;0,75;;;;;;;
239;12;28;0,75;;;;;;;
240;23;102;0,75;;;;;;;
241;12;31;0,50;;;;;;;
242;13;31;0,50;;;;;;;
243;8;19;0,50;;;;;;;
244;15;19;0,50;;;;;;;
245;9;20;0,75;;;;;;;
246;6;20;0,75;;;;;;;
247;29;79;0,75;;;;;;;
248;23;85;0,25;;;;;;;
249;22;85;0,25;;;;;;;
250;15;85;0,25;;;;;;;
251;9;13;0,25;;;;;;;
252;12;37;0,25;;;;;;;
253;25;73;0,75;;;;;;;
254;22;73;0,75;;;;;;;
255;10;16;0,75;;;;;;;
256;6;16;0,75;;;;;;;
257;9;16;0,75;;;;;;;
258;12;18;0,75;;;;;;;
259;23;68;0,75;;;;;;;
260;7;8;0,75;;;;;;;
261;11;8;0,75;;;;;;;
262;28;45;0,75;;;;;;;
263;18;45;0,75;;;;;;;
264;38;63;0,75;;;;;;;
265;23;63;0,75;;;;;;;
266;25;47;0,75;;;;;;;
267;37;103;0,75;;;;;;;
268;12;78;0,75;;;;;;;
269;52;95;0,75;;;;;;;
270;11;83;0,75;;;;;;;
271;33;102;0,75;;;;;;;
272;17;57;0,75;;;;;;;
273;8;57;0,75;;;;;;;
274;31;68;0,75;;;;;;;
275;49;104;1,00;;;;;;;
276;50;107;1,00;;;;;;;
277;47;106;1,00;;;;;;;
278;50;106;1,00;;;;;;;
279;13;40;0,75;;;;;;;
280;19;35;0,75;;;;;;;
281;15;35;0,75;;;;;;;
282;14;35;0,75;;;;;;;
283;14;35;0,75;;;;;;;
284;14;40;0,75;;;;;;;
285;15;32;0,75;;;;;;;
286;12;35;0,75;;;;;;;
287;14;32;0,75;;;;;;;
288;9;40;0,75;;;;;;;
289;14;35;0,75;;;;;;;
290;12;33;0,75;;;;;;;
291;12;35;0,75;;;;;;;
292;56;124;1,00;;;;;;;
293;62;109;1,00;;;;;;;
294;49;104;1,00;;;;;;;
295;44;86;1,00;;;;;;;
296;40;112;1,00;;;;;;;
297;41;87;1,00;;;;;;;
298;44;87;1,00;;;;;;;
299;40;112;1,00;;;;;;;
300;48;123;1,00;;;;;;;
301;43;103;1,00;;;;;;;
302;48;109;1,00;;;;;;;
303;62;109;1,00;;;;;;;
304;50;80;0,75;;;;;;;
305;54;119;1,00;;;;;;;
306;49;124;1,00;;;;;;;
307;40;124;1,00;;;;;;;
308;49;109;1,00;;;;;;;
